,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
394,Kalikkoottukar,Malayalam,3.5,2 h 24 min,2019,All,"The lives of childhood friends, who fly to Goa for a fun trip during their college break. However, events take a dangerous turn when they come in contact with a couple at a local bar."
395,Dui Yoddha,Bengali,None,2 h 25 min,2006,NR,"Dui Yoddha is a social drama about the life of two friends, D’Souza and Kishan. But Dutisa, the goon doesn't let the friendship remain for long. To hide his smuggling, he kills Kishan and puts the blame on D'Souza. This incident and the misunderstanding also make their sons, Michael and Bijoy turn into enemies. D'Souza secretly educates Bijoy, Kishan’s son and helps him become a police inspe ..."
396,Hangover : A Mistake of Last Peg,Kannada,7.1,1 h 39 min,2019,13+,"Three friends embark on a drunken romp in the city, and end up passing out. When they wake up the next day, they find a girl murdered in their flat with no recollection of the previous night! The friends must now figure out the mystery to save themselves. Wath the mistake of a last peg."
397,Challenge Ramudu,Telugu,None,2 h 19 min,1980,NR,"Challenge Ramudu is a 1980 Indian Telugu film, directed by T. L. V. Prasad produced by T. Prakash Rao. The film stars NTR, Jayapradha and Geetha in lead roles. Music of the film was composed by Chakravarthy."
398,Shakthi,Telugu,6.4,2 h 23 min,2019,All,"Shakti (Sivakarthikeyan), a superhero fanatic since his childhood fails to fulfil Meera's (Kalyani Priyadarshan) proposal of getting an engineering college admission for an extremely talented girl in a legit way. When he discovers that it was Mahadev (Abhay Deol) who has corrupted the education system, Sakthi decides to transform into a superhero and fight Mahadev & his henchmen."
399,Koondukkili,Tamil,7.6,1 h 44 min,1994,NR,"Koondukkili is a 1994 Indian Tamil film, directed and produced by T R Ramanna. The film stars MGR, Sivaji Ganesan and Saroja in lead roles. Music of the film was composed by K.V. Mahadevan."
400,iParty,English,None,47min,2020,13+,Have you ever wondered what happens at a sex party? Are orgies a health-risk? What are the dos and don'ts at such parties? iParty! answers these questions and more!
401,The Taking of Tiger Mountain,English,6.4,2 h 17 min,2014,18+,A story focusing on a conflict between a People's Liberation Army squad and a bandit gang in north-east China during the Chinese revolution.
402,Zid,Hindi,4.4,2 h 8 min,2014,18+,"A journalist, who is still struggling to put his past behind, learns that his landlords daughter, a psychopath, is madly in love with him."
403,Ethiopia By Tuk tuk,English,None,1 h 27 min,2019,13+,"Eleven travelers commute 2,500 kms through southern Ethiopia via tuk-tuks becoming the first to reach the Omo Valley in three-wheelers. They aim to promote the concept The World in Slow Motion which is about immersing in the landscape, absorbing the culture, and interacting with the locals as you travel the region. Watch this fascinating film and discover the beautiful Omo Valley and its people."
404,Nermai,Tamil,None,2 h 30 min,1985,All,"Raja gets suspended from his college for his misconduct and notorious behaviour. His father, Jayakumar, requests Professor Gowri Shankar to tutor and reform him. Nermai (Honesty) is a 1985 Indian Tamil film, directed by R. Krishnamoorthy and produced by K. R. Gangadharan. The film stars Sivaji Ganesan, Sujatha, Prabhu and Radhika in lead roles. The film had musical score by M. S."
405,The Long Flight of the Phoenix,English,None,49min,2020,13+,"Flamingos have been revered since the early ages as the mythical bird phoenix. Known to fly long distances in the night, sustain on the beta carotene rich feed in the mudflats and travel the globe looking for habitats, the flamingos have mastered the art of survival. How have these majestic birds thrived on earth for over 10 million years despite the rapid loss of green cover?"
406,Patel Sir,Telugu,5.6,2 h 9 min,2017,13+,"Subhash Patel (Jagapathi Babu), a retired army officer, takes on a group of drug traffickers. ACP Catherine, a corrupt lady officer, vows to find out the reason behind his mission."
407,Guess Who’s Coming to Dinner,English,None,1 h 48 min,None,7+,"Joanna, a young woman raised with liberal values, brings home her fiance John, a widowed, black physician. Over dinner, Joanna’s parents’ apprehensions become evident causing trouble for the couple."
408,Madmast Barkhaa,Hindi,3.6,1 h 42 min,2015,NR,"The story of Barkhaa, married to Ranbir who is in the army, goes to war one day and dies. Her loneliness in life changes as she develops feelings for a man who comes to live in her house on rent. Both fall in love and get married, only to find out that Ranbir wasn't dead after all."
409,Bobby,Malayalam,7,2 h 20 min,2017,NR,"Raja is the 18-year-old son of a wealthy Bombay businessman who suffers from his parent's coldness and neglect. Shortly after finishing school he meets Bobby, the 16-year-old daughter of a poor Christian fisherman. They fall head over heels for each other, but they'll need everything they have to defend their love as their families won't accept them marrying each other."
410,Spark: A Space Tail,English,4.5,1 h 28 min,2017,7+,"Spark, a teenage monkey and his friends, Chunk and Vix, are on a mission to regain Planet Bana, a kingdom overtaken by the evil overlord Zhong."
411,Kuch Tum Kaho Kuch Hum Kahein,Hindi,5.6,2 h 52 min,2002,All,"A man and woman are in love with each other but cannot pursue their relationship due to the feud between their families. In order to save his love, he decides to reunite the families."
412,Inception,Hindi,8.8,2 h 28 min,2010,13+,Leonardo DiCaprio plays a thief who steals corporate secrets from sleeping minds. Now he must be the first to pull off the reverse: planting an idea in exchange for his freedom.
413,Stripper,English,5.9,1 h 30 min,1986,18+,Professional strippers compete in a major competition at a Las Vegas stripper's convention.
414,Jugni Yaaran Di,Punjabi,4.9,1 h 55 mins,2019,13+,"A story of friendship and romance set against the backdrop of campus life, Jugni Yaaran Di follows two close buddies whose friendship is put to test when a girl comes between them."
415,Marettimo,English,None,24min,2020,13+,Marettimo is one of the beautiful Aegadian islands with a population of just 700 people. Fishing is the primary occupation of the inhabitants. The island has seen many of its locals leave for Alaska where they can earn better by salmon fishing. Those who stayed are left to worry about their future as the creation of Marine Reserve threatens their livelihood.
416,Just Let Go,English,6.8,1 h 46 min,2015,16+,"After surviving a drunk driving accident that killed his pregnant wife and two kids, Chris Williams struggles to 'just let go' and forgive the young man who caused it."
417,Dracula Sir,Bengali,7.2,2 h 5 min,2020,13+,"Amal, a school teacher with a rare pair of sharp canines and Manjari, a naxal widow of the 70's Kolkata. A love story that travels through the test of time."
418,Party,Hindi,None,1 h 52 min,1984,NR,"A party is held in honor of the recipient of a literary prize, which attracts the cultural elite of the town. Missing is Amrit, a writer who left a promising literary career to become an activist among the tribals. His attempt to bridge the chasm between words and deed haunts those at the party."
419,Drive Angry,Hindi,5.4,1 h 40 min,2011,18+,A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter
420,Fresh Dressed,English,6.6,1 h 22 min,2015,18+,"The history of hip-hop fashion from its birth in the South Bronx to its rise as a billion-dollar global industry, Fresh Dressed is supported by rich archival materials, in-depth interviews with individuals crucial to the evolution, and the outsider."
421,Young @ Heart,English,None,1 h 43 min,2007,13+,"This documentary follows an unconventional choir made up entirely of senior citizens as they rehearse new material for an epic hometown performance. Reinterpreting songs from the likes of The Clash, Sonic Youth, and Coldplay, these lovable geriatrics display an indefatigable humor and optimism."
422,Journey 2: The Mysterious Island,Hindi,5.8,1 h 34 min,2012,All,"Seventeen-year-old Sean Anderson (Josh Hutcherson) and his new stepfather, Hank (Dwayne Johnson) set off on an adventure to find a mysterious island where no island should exist."
423,Mantra Shakti - Telugu,Telugu,None,1 h 57 min,2002,NR,"Mantra Shakti is a 2002 Indian Telugu film, directed by Mummy Century and produced by Sri Sairam Cine Arts. The film stars Jagathi, Kasthuri and Madan Mohan in lead roles. The music of the film was composed by Sai Ramesh."
424,Bhuvana Sundari Katha,Telugu,5.5,2 h 35 min,None,NR,"The film is a tale in between two kingdoms; Vichitrapuram, ruled by King Chitrasena (Mukkamala) and Kanchanapuram, ruled by Hiranyavarma. Chitrasena is interested in fancy items and he announces that whoever gets it will be given half of his kingdom. Hiranyavarma is religious and truthful, he installs a chair Bhuvaneshwari Peetam, that whoever enters into it, if innocent he will be garlanded ..."
425,Lift,Bengali,None,20min,2018,13+,"Living alone in a high-rise, Nandita's nightmare comes alive when she gets stuck in the elevator with liftman Kartik, who has the habit of staring at her."
426,Man on a Ledge,English,6.6,1 h 42 min,2012,13+,"While a man teetering on a 21st-floor ledge diverts attention, the world's greatest diamond heist is underway. Hang on for thrills with Sam Worthington, Ed Harris and Elizabeth Banks."
427,Slovo House,English,8.1,1 h 21 min,2020,13+,"Stalin built the Slovo House for poets, writers, and other artists to reside under one roof. What began as an artistic paradise for the inhabitants to explore life and ideas, became a place of paranoia as the government began to spy on them. Not only was their freedom curtailed, but many of them were tortured or sent to mental institutions."
428,The Nest of the Cuckoo Birds,English,5.2,1 h 22 min,None,NR,"An undercover agent is sent to infiltrate bootleggers in the Florida Everglades, but winds up lost in the swamps and stuck in a decrepit hotel with a few of peculiar inhabitants. What starts off like a police actioner quickly morphs into an unholy fairy tale of Southern Gothic melodrama and horror."
429,Jab Jab Phool Khile,Hindi,7,2 h 24 min,None,All,"A westernised heiress from Mumbai falls for a simple-minded Kashmiri houseboat owner while on a vacation, but their union is frowned upon by her father who leaves no stone unturned to cause a rift between the couple."
430,Al Mallu,Malayalam,4.1,2 h 8 min,2020,All,"Nayana, who is suffering from emotional distress after calling off her marriage, meets Sreedhar, who helps her get her life back on track."
431,Upstream Color,English,6.7,1 h 36 min,2013,13+,"A man and woman are drawn together, entangled in the life cycle of an ageless organism. Identity becomes an illusion as they struggle to assemble the loose fragments of wrecked lives."
432,Desh Re Joya Dada Pardesh Joya,Gujarati,7.4,2 h 44 min,1998,All,"Desh Re Joya Dada Pardesh Joya Is A Romantic Action Comedy Gujarati Movie, Directed And Produced By Govind Bhai Patel. Featuring Hiten Kumar, Roma Manik And Ramesh Mehta In The Lead Roles . Radha, A Village Girl, Is Married Off To An NRI After Her Marriage To Her Childhood Sweetheart Is Cancelled. But, She Undergoes A Cultural Shock In Her New Surroundings And Yearns To Get Back Home."
